name,price,services/0,services/1,details/0,details/1,details/2,details/3,details/4,details/5,details/6,details/7,details/8,response_details/0,response_details/1,response_details/2,response_details/3,response_details/4,response_details/5,response_details/6,response_details/7,response_details/8,details/9,details/10,response_details/9,response_details/10,services/2,services/3,services/4,services/5,services/6,services/7
Volkswagen Jetta Jetta Highline 2.0 TSI,94.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Quilômetros,,Volkswagen,Jetta,2017,Jetta Highline 2.0 TSI,Branco,Gasolina,4,92000 km,,,,,,,,,,,
Mitsubishi L200 3.2 Triton Hpe Cab. Dupla 4x4 Aut. 4p,131.000,,,Marca,Modelo,Ano,Versão,Tipo de combustível,Portas,Transmissão,Motor,Tipo de carroceria,Mitsubishi,L200,2015,3.2 Triton Hpe Cab. Dupla 4x4 Aut. 4p,Diesel,4,Automática,3.2,Pick-Up,Quilômetros,,195000 km,,,,,,,
Fiat Toro 1.8 16V EVO FLEX FREEDOM AT6,108.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Tipo de carroceria,Fiat,Toro,2021,1.8 16V EVO FLEX FREEDOM AT6,Branco,Gasolina e álcool,4,Automática,Pick-Up,Quilômetros,,72298 km,,,,,,,
Volkswagen Amarok 2.0 Comfortline Cab. Dupla 4x4 Aut. 4p,157.000,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Volkswagen,Amarok,2019,2.0 Comfortline Cab. Dupla 4x4 Aut. 4p,Branco,Diesel,4,Automática,2.0,Tipo de carroceria,Quilômetros,Pick-Up,65000 km,,,,,,
Ford Ranger 3.2 Xlt 4x4 Cd 20v Diesel 4p Automático,139.900,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Ford,Ranger,2018,3.2 XLT 4X4 CD 20V DIESEL 4P AUTOMÁTICO,Branco,Diesel,4,Automática,3.2,Tipo de carroceria,Quilômetros,Pick-Up,88000 km,,,,,,
Nissan Frontier 2.3 16v Turbo Diesel Se Cd 4x4 Automático,143.900,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Nissan,Frontier,2018,2.3 16V TURBO DIESEL SE CD 4X4 AUTOMÁTICO,Branco,Diesel,4,Automática,2.3,Tipo de carroceria,Quilômetros,Pick-Up,119044 km,,,,,,
Dodge Ram 2018,330.000,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Dodge,Ram 2500,2018,LARAMIE 6.7,Branco,Diesel,4,Automática,CUMINS,Tipo de carroceria,Quilômetros,Pick-Up,82000 km,,,,,,
Kia Sorento 3.5 4x4 v6 24v,94.990,Único dono,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Kia,Sorento,2015,3.5 4x4 v6 24v,PRATA,Gasolina,4,Automática,77136 km,,,,,,,,,,
M5 4.4 V8 Twin Power M Xdrive Steptronic,790.000,Único dono,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Tipo de carroceria,BMW,M5,2020,4.4 V8 TWIN POWER M XDRIVE STEPTRONIC,Azul,Gasolina,4,Automática,Coupé,Quilômetros,,22000 km,,,,,,,
Audi A6 3.0 55 TFSI GASOLINA PERFORMANCE QUATTRO 4P S-TRONIC,390.000,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Tipo de carroceria,Audi,A6,2020,3.0 55 TFSI GASOLINA PERFORMANCE QUATTRO 4P S-TRONIC,Cinza,Gasolina,4,Automática,Sedã,Quilômetros,,27000 km,,,,,,,
Ford Fiesta 1.6 Se Sedan 16v Flex 4p Manual,29.900,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Ford,Fiesta,2012,1.6 SE SEDAN 16V FLEX 4P MANUAL,Prateado,Gasolina e álcool,5,Manual,1.6,Tipo de carroceria,Quilômetros,Sedã,138312 km,,,,,,
Honda Civic 1.8 Lxs Flex Aut. 4p,67.890,,,Marca,Modelo,Ano,Versão,Tipo de combustível,Portas,Transmissão,Motor,Tipo de carroceria,Honda,Civic,2015,1.8 Lxs Flex Aut. 4p,Gasolina e álcool,4,Automática,1.8,Sedã,Quilômetros,,115000 km,,,,,,,
Volkswagen Saveiro 1.6 16v Cross Cab. Dupla Total Flex 2p,87.000,,,Marca,Modelo,Ano,Versão,Tipo de combustível,Portas,Transmissão,Motor,Tipo de carroceria,Volkswagen,Saveiro,2019,1.6 16v Cross Cab. Dupla Total Flex 2p,Gasolina e álcool,2,Manual,1.6,Pick-Up,Quilômetros,,93000 km,,,,,,,
Chevrolet S10 2.4 Advantage Cab. Dupla 4x2 Flexpower 4p,54.000,,,Marca,Modelo,Ano,Versão,Tipo de combustível,Portas,Transmissão,Motor,Tipo de carroceria,Chevrolet,S10,2010,2.4 Advantage Cab. Dupla 4x2 Flexpower 4p,Gasolina e álcool,4,Manual,2.4,Pick-Up,Quilômetros,,116000 km,,,,,,,
Volkswagen Saveiro 1.6 Robust Cab. Simples Total Flex 2p,62.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Volkswagen,Saveiro,2019,1.6 Robust Cab. Simples Total Flex 2p,Branco,Gasolina e álcool,2,Manual,1.6,Tipo de carroceria,Quilômetros,Pick-Up,45000 km,,,,,,
Ford Ka 1.0 Se Flex 5p,54.000,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Ford,Ka,2020,1.0 Se Flex 5p,Preto,Gasolina e álcool,4,Manual,1.0,Quilômetros,,90000 km,,Com preço negociável,Com garantia mecânica,,,,
Chevrolet Montana 1.4 Mpfi Ls Cs 8v Flex 2p Manual,41.990,Com IPVA pago,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Montana,2013,1.4 MPFI LS CS 8V FLEX 2P MANUAL,Prateado,Gasolina e álcool,2,Manual,1.4 MPFI LS CS 8V FLEX 2P MANUAL,Tipo de carroceria,Quilômetros,Pick-Up,142290 km,,,,,,
Toyota Corolla 2.0 VVT-IE FLEX XEI DIRECT SHIFT,130.900,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Toyota,Corolla,2021,2.0 VVT-IE FLEX XEI DIRECT SHIFT,Branco,Gasolina e álcool,4,Automática,2.0,Tipo de carroceria,Quilômetros,Sedã,29444 km,,,,,,
Peugeot 2008 1.6 16v Flex Allure 4p Automático,70.000,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Peugeot,2008,2019,1.6 16V FLEX ALLURE 4P AUTOMÁTICO,Marrom,Gasolina e álcool,5,Automática,1.6,Tipo de carroceria,Quilômetros,SUV,36000 km,,,,,,
Bmw X1 2.0 16v Turbo Activeflex Sdrive20i 4p Automático,203.900,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,BMW,X1,2021,2.0 16V TURBO ACTIVEFLEX SDRIVE20I 4P AUTOMÁTICO,Azul,Gasolina e álcool,4,Automática,2.0,Tipo de carroceria,Quilômetros,SUV,36000 km,Único dono,Com IPVA pago,,,,
Hyundai Hb20 1.0 12v Flex Vision Manual,66.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Hyundai,HB20,2021,1.0 12V FLEX VISION MANUAL,Branco,FLEX,4,Manual,41030 km,,,,,,,,,,
Tracker 1.0 Turbo Flex Lt Automático,127.990,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Tipo de carroceria,Chevrolet,Tracker,2024,1.0 TURBO FLEX LT AUTOMÁTICO,Branco,Gasolina e álcool,4,Automática,SUV,Quilômetros,,0 km,,,,,,,
Nissan Kicks  1.6 S Cvt (flex) Flex Cvt,78.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Nissan,Kicks,2018,Kicks 1.6 S CVT (Flex),Cinza,Gasolina e álcool,4,Automática,1.6,Tipo de carroceria,Quilômetros,SUV,110000 km,,,,,,
Chevrolet Onix 1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,90.700,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Onix,2020,1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO,Preto,Gasolina e álcool,5,Automática,1.0,Tipo de carroceria,Quilômetros,Hatch,72200 km,,,,,,
Suzuki Jimny 1.3 4all 4x4 16v,88.900,Único dono,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Quilômetros,,Suzuki,Jimny,2021,1.3 4all 4x4 16v,PRATA,Gasolina,2,48000 km,,,,,,,,,,,
Fiat Idea 1.8 MPI ADVENTURE 16V FLEX 4P AUTOMATIZADO,40.890,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Fiat,Idea,2013,1.8 MPI ADVENTURE 16V FLEX 4P AUTOMATIZADO,Verde,Gasolina e álcool,4,Semiautomática,1.8,Tipo de carroceria,Quilômetros,Minivan,71000 km,Com IPVA pago,,,,,
Chevrolet Vectra 2.0 MPFI ELITE 8V FLEX 4P AUTOMÁTICO,39.900,Com IPVA pago,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Vectra,2010,2.0 MPFI ELITE 8V FLEX 4P AUTOMÁTICO,Prateado,Gasolina e álcool,4,Automática,2.0 MPFI ELITE 8V FLEX 4P AUTOMÁTICO,Tipo de carroceria,Quilômetros,Sedã,198000 km,,,,,,
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual,25.990,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Celta,2014,1.0 MPFI LT 8V FLEX 4P MANUAL,Preto,Gasolina e álcool,4,Manual,1.0,Tipo de carroceria,Quilômetros,Hatch,167282 km,,,,,,
Volkswagen Jetta 2.0 Tsi Highline 211cv Gasolina 4p Tiptroni,66.890,Com IPVA pago,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Volkswagen,Jetta,2013,2.0 TSI HIGHLINE 211CV GASOLINA 4P TIPTRONIC,Prateado,Gasolina,4,Automática,2.0 TSI HIGHLINE 211CV GASOLINA 4P TIPTRONIC,Tipo de carroceria,Quilômetros,Sedã,141000 km,,,,,,
Jeep Compass s 2.0 T.diesel 4x4 Aut. Teto Solar. Único Dono,169.900,Único dono,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Jeep,Compass,2020,s 2.0 T.diesel 4x4 Aut. Teto Solar. Único Dono,Branco,Diesel,4,Automática,30000 km,,,,,,,,,,
Chevrolet Prisma 1.0 Joy 4p,60.000,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Prisma,2019,1.0 Joy 4p,Prateado,Gasolina e álcool,4,Manual,1.0,Tipo de carroceria,Quilômetros,Sedã,83000 km,,,,,,
Hyundai HB20 1.0 TGDI FLEX SPORT AUTOMÁTICO,85.900,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Hyundai,HB20,2022,1.0 TGDI FLEX SPORT AUTOMÁTICO,Prateado,Gasolina e álcool,4,Automática,1.0,Tipo de carroceria,Quilômetros,Hatch,38176 km,,,,,,
Chevrolet Joy Plus 1.0 8V 4p Flex Mec.,57.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Tipo de carroceria,Chevrolet,Joy,2020,Plus 1.0 8V 4p Flex Mec.,Branco,Gasolina e álcool,4,Manual,Sedã,Quilômetros,,68385 km,,,,,,,
Honda Civic 2.0 EXR 16V FLEX 4P AUTOMÁTICO,81.989,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Honda,Civic,2016,2.0 EXR 16V FLEX 4P AUTOMÁTICO,Branco,Gasolina e álcool,4,Automática,2.0 EXR 16V FLEX 4P AUTOMÁTICO,Tipo de carroceria,Quilômetros,Sedã,191405 km,,,,,,
Audi A5 2.0 Tfsi Gasolina Sportback S-line S Tronic,229.990,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Audi,A5,2019,2.0 TFSI GASOLINA SPORTBACK S-LINE S TRONIC,Branco,Gasolina,4,Automática,2.0 TFSI GASOLINA SPORTBACK S-LINE S TRONIC,Tipo de carroceria,Quilômetros,Sedã,52000 km,,,,,,
Honda City 1.5 Personal 16v Flex 4p Automático,73.900,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Honda,City,2019,1.5 PERSONAL 16V FLEX 4P AUTOMÁTICO,Prateado,Gasolina e álcool,4,Automática,1.5,Tipo de carroceria,Quilômetros,Hatch,43000 km,,,,,,
Fiat Toro 1.8 16v Evo Flex Freedom At6,94.999,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Fiat,Toro,2018,1.8 16V EVO FLEX FREEDOM AT6,Prateado,Gasolina e álcool,4,Automática,52270 km,,,,,,,,,,
Renault Duster 1.6 16v Sce Flex Iconic X-tronic 2020/2021,94.790,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Quilômetros,,Renault,Duster,2021,1.6 16V SCE FLEX ICONIC X-TRONIC,Prateado,Gasolina e álcool,4,34000 km,,,,,,,,,,,
Chevrolet Spin 1.8 Premier 8v Flex 4p Automático,105.900,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Spin,2022,1.8 PREMIER 8V FLEX 4P AUTOMÁTICO,Prateado,Gasolina e álcool,4,Automática,1.8,Tipo de carroceria,Quilômetros,Minivan,28300 km,,,,,,
Jeep Renegade 1.8 Longitude Flex Automatica,98.990,Aceita troca,Único dono,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Jeep,Renegade,2021,1.8 Longitude Flex Automatica,Prateado,Gasolina e álcool,4,Automática,1.8,Quilômetros,,44000 km,,Com IPVA pago,,,,,
Hyundai HB20S 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,46.900,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Hyundai,HB20S,2015,1.0 COMFORT PLUS 12V FLEX 4P MANUAL,Azul,Gasolina e álcool,4,Manual,1.0,Tipo de carroceria,Quilômetros,Sedã,117000 km,Com IPVA pago,,,,,
Volkswagen Virtus 1.6 Msi Total Flex Automático,76.999,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Volkswagen,Virtus,2020,1.6 MSI TOTAL FLEX AUTOMÁTICO,Branco,Gasolina e álcool,4,Automática,70342 km,,,,,,,,,,
Suzuki Grand Vitara 2.0 At Premium,79.900,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Suzuki,Grand Vitara,2016,2.0 AT PREMIUM,Prateado,Gasolina,4,Automática,2.0,Quilômetros,,73000 km,,,,,,,
Chevrolet Onix Sedan Onix Sedan Plus Ltz 1.0 12v Tb Flex Me,77.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Onix,2021,ONIX SEDAN PLUS LTZ 1.0 12V TB FLEX MEC.,Prateado,Gasolina e álcool,4,Manual,1.0,Tipo de carroceria,Quilômetros,Sedã,69977 km,,,,,,
Ford Ranger XLS 4X4 CD 16V,193.990,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Ford,Ranger,2021,XLS 4X4 CD 16V,PRATA,Diesel,4,CÂMBIO AUTOMÁTICO,28000 km,,,,,,,,,,
Mercedes-benz Glk 220 2.1 Cdi 4x4 Diesel 4p Automático,169.000,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Mercedes-Benz,GLK 220,2014,2.1 CDI 4X4 DIESEL 4P AUTOMÁTICO,Cinza,Diesel,4,Automática,2.1 CDI 4X4 DIESEL 4P AUTOMÁTICO,Tipo de carroceria,Quilômetros,SUV,60000 km,,,,,,
Fiat 500 1.4 Flex Dualogic 2p,49.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Fiat,500,2014,1.4 Flex Dualogic 2p,Branco,Gasolina e álcool,2,Automática,1.4,Tipo de carroceria,Quilômetros,Conversível,104386 km,,,,,,
Nissan Versa 1.0 12v S 4p,46.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Nissan,Versa,2016,1.0 12v S 4p,Prateado,Gasolina e álcool,4,Manual,1.0,Tipo de carroceria,Quilômetros,Sedã,86000 km,,,,,,
Volkswagen Voyage 1.6 Msi Totalflex 4p Manual,68.260,Com IPVA pago,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Volkswagen,Voyage,2022,1.6 MSI TOTALFLEX 4P MANUAL,Prateado,Gasolina e álcool,4,Manual,1.6 MSI TOTALFLEX 4P MANUAL,Tipo de carroceria,Quilômetros,Sedã,25476 km,,,,,,
Audi A3 Sedan 1.8 Tfsi Ambition S-tronic 4p,102.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Audi,A3 Sedan,2015,1.8 Tfsi Ambition S-tronic 4p,Branco,Gasolina,4,Automática,1.8,Tipo de carroceria,Quilômetros,Sedã,124000 km,,,,,,
Corolla 1.8 Gli 16v Flex 4p Automático,48.900,Com IPVA pago,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Tipo de carroceria,Toyota,Corolla,2010,1.8 GLI 16V FLEX 4P AUTOMÁTICO,Prata,Gasolina e álcool,4,Automática,Sedã,Quilômetros,,242157 km,,,,,,,
Hyundai HB20S 1.0 Unique Flex 4p,59.000,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Hyundai,HB20S,2019,1.0 Unique Flex 4p,Branco,Gasolina e álcool,4,Manual,1.0,Tipo de carroceria,Quilômetros,Sedã,58700 km,,,,,,
Chevrolet Astra Sedan 2.0 8v Expression 4p,32.000,Não aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Astra Sedan,2002,2.0 8v Expression 4p,Cinza-escuro,Gasolina,4,Manual,2.0,Tipo de carroceria,Quilômetros,Sedã,114000 km,,,,,,
Chevrolet Onix 1.0 Turbo Flex Plus Ltz Automático,89.260,Com IPVA pago,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Onix,2021,1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO,Prateado,Gasolina e álcool,4,Automática,1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO,Tipo de carroceria,Quilômetros,Sedã,45456 km,,,,,,
Volkswagen Voyage 1.6 Msi Totalflex 4p Manual,69.310,Com IPVA pago,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Volkswagen,Voyage,2022,1.6 MSI TOTALFLEX 4P MANUAL,Prateado,Gasolina e álcool,4,Manual,1.6 MSI TOTALFLEX 4P MANUAL,Tipo de carroceria,Quilômetros,Sedã,16681 km,,,,,,
Volkswagen Amarok 3.0 v6 Tdi Highline Extreme cd 4motion,264.900,Único dono,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Volkswagen,Amarok,2020,3.0 v6 Tdi Highline Extreme cd 4motion,Cinza,Diesel,4,Automática,49658 km,,,,,,,,,,
Land Rover Range Rover Velar 2.0 P404 Phev R-dynamic Hse,664.950,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Land Rover,Range Rover Velar,2023,2.0 P404 Phev R-dynamic Hse,Cinza,Híbrido,4,Automática,0 km,,,,,,,,,,
Renault Megane Grand Tour Megane Grand Tour Dynam. Hi-Flex 1.6 16V,30.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Renault,Megane Grand Tour,2012,Megane Grand Tour Dynam. Hi-Flex 1.6 16V,Preta,Gasolina e álcool,4,Manual,162500 km,,,,,,,,,,
Chevrolet Prisma 1.0 Mpfi Lt 8v Flex 4p Manual,42.790,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Prisma,2015,1.0 MPFI LT 8V FLEX 4P MANUAL,Prateado,Álcool e gás natural,4,Manual,1.0,Tipo de carroceria,Quilômetros,Sedã,70000 km,Com IPVA pago,,,,,
Chevrolet Onix 1.0 MPFI JOY 8V FLEX 4P MANUAL,46.900,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Onix,2018,1.0 MPFI JOY 8V FLEX 4P MANUAL,Cinza-escuro,Gasolina e álcool,5,Manual,1.0,Tipo de carroceria,Quilômetros,Hatch,73000 km,,,,,,
Fiat Grand Siena 1.6 16v Essence Flex 4p,41.600,,,Marca,Modelo,Ano,Versão,Tipo de combustível,Portas,Transmissão,Motor,Tipo de carroceria,Fiat,Grand Siena,2015,1.6 16v Essence Flex 4p,Gasolina e álcool,4,Manual,1.6,Sedã,Quilômetros,,104000 km,,,,,,,
Hb20s 1.6 Comfort Plus 16v Flex 4p Manual,49.900,Com IPVA pago,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Tipo de carroceria,Hyundai,HB20S,2014,1.6 COMFORT PLUS 16V FLEX 4P MANUAL,Prata,Gasolina e álcool,4,Manual,Sedã,Quilômetros,,130500 km,,,,,,,
Chevrolet Cobalt 1.4 SFI LTZ 8V FLEX 4P MANUAL,42.990,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Tipo de carroceria,Chevrolet,Cobalt,2013,1.4 SFI LTZ 8V FLEX 4P MANUAL,Cinza,Gasolina e álcool,4,Manual,Sedã,Quilômetros,,49607 km,,,,,,,
Honda Civic 1.8 Lxs Flex 4p,39.000,,,Marca,Modelo,Ano,Versão,Tipo de combustível,Portas,Transmissão,Motor,Quilômetros,Honda,Civic,2008,1.8 Lxs Flex 4p,Gasolina e álcool,4,Manual,1.8,130000 km,,,,,,,,,,
Nissan Sentra 2.0 Sv Flex Aut. 4p,70.000,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Nissan,Sentra,2017,2.0 Sv Flex Aut. 4p,Preto,Gasolina e álcool,4,Automática,2.0,Tipo de carroceria,Quilômetros,Sedã,52000 km,,,,,,
Nissan Versa 1.6 16v Sv 4p,59.990,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Nissan,Versa,2019,1.6 16v Sv 4p,Prateado,Gasolina e álcool,4,Manual,1.6,Quilômetros,,59000 km,,,,,,,
Renegade 1.3 T270 Turbo Flex Longitude At6,199.190,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Jeep,Renegade,2023,1.3 T270 TURBO FLEX LONGITUDE AT6,Preto,Gasolina e álcool,4,Automática,0 km,,,,,,,,,,
Hyundai HB20S 1.6 PREMIUM 16V FLEX 4P MANUAL,48.990,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Hyundai,HB20S,2014,1.6 PREMIUM 16V FLEX 4P MANUAL,Preto,Gasolina e álcool,4,Manual,1.6 PREMIUM 16V FLEX 4P MANUAL,Tipo de carroceria,Quilômetros,Sedã,104000 km,,,,,,
Hyundai HB20S 1.6 Comfort Style,64.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Tipo de carroceria,Hyundai,HB20S,2016,1.6 Comfort Style,Marrom,Gasolina e álcool,4,Manual,Sedã,Quilômetros,,129000 km,,,,,,,
Hyundai HB20S 1.6 Comfort Style,64.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Tipo de carroceria,Hyundai,HB20S,2016,1.6 Comfort Style,Marrom,Gasolina e álcool,4,Manual,Sedã,Quilômetros,,129000 km,,,,,,,
Commander 2.0 Td380 Turbo Diesel Limited At9,312.990,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Jeep,Commander,2023,2.0 TD380 TURBO DIESEL LIMITED AT9,Preto,Diesel,4,Automática,0 km,,,,,,,,,,
Nissan Versa 1.6 16v Sv Flex 4p,30.900,,,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Nissan,Versa,2012,1.6 16v Sv Flex 4p,Prateado,Gasolina e álcool,4,Manual,1.6,Quilômetros,,1111111 km,,,,,,,
Peugeot 3008 1.6 GRIFFE THP 16V,55.990,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Peugeot,3008,2013,1.6 GRIFFE THP 16V,Preto,Gasolina,4,Automática,1.6,Tipo de carroceria,Quilômetros,SUV,96539 km,,,,,,
Fiat Uno 1.0 EVO ATTRACTIVE 8V FLEX 4P MANUAL,38.900,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Quilômetros,Fiat,Uno,2016,1.0 EVO ATTRACTIVE 8V FLEX 4P MANUAL,Prateado,Gasolina e álcool,4,Manual,166995 km,,,,,,,,,,
Ford Fiesta 1.0 MPI SEDAN 8V FLEX 4P MANUAL,21.900,Higienização completa,Aceita troca,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Ford,Fiesta,2011,1.0 MPI SEDAN 8V FLEX 4P MANUAL,Prateado,Gasolina e álcool,5,Manual,1.0,Tipo de carroceria,Quilômetros,Sedã,200835 km,,,,,,
Chevrolet Cobalt COBALT 1.4 LTZ 2012 MUITO BONITO,38.900,Aceita troca,Com IPVA pago,Marca,Modelo,Ano,Versão,Cor,Tipo de combustível,Portas,Transmissão,Motor,Chevrolet,Cobalt,2012,COBALT 1.4 LTZ 2012 MUITO BONITO,Preto,Gasolina e álcool,4,Manual,1.4,Quilômetros,,114180 km,,,,,,,
Hyundai HB20S 1.0 Vision Flex 4p 5 marchas,66.000,,,Marca,Modelo,Ano,Versão,Tipo de combustível,Portas,Transmissão,Motor,Tipo de carroceria,Hyundai,HB20S,2021,1.0 Vision Flex 4p 5 marchas,Gasolina e álcool,4,Manual,1.0,Sedã,Quilômetros,,31100 km,,,,,,,
