,price,com_ipva_pago,aceita_troca,entrega_a_domicilio,unico_dono,com_preco_negociavel,higienizacao_completa,nao_aceita_troca,com_garantia_mecanica,test_drive_a_domicilio,marca,modelo,ano,cor,tipo_de_combustivel,motor,tipo_de_transmissao,quilometros,portas
536,92980.0,False,False,False,False,False,False,False,False,False,Chevrolet,Onix,2022,Cinza,Gasolina e álcool,1.0,Manual,65000,4
537,159990.0,False,False,False,False,False,False,False,False,False,Toyota,Hilux SW4,2015,Preto,Diesel,3.0,Automática,65000,4
538,151300.0,False,False,False,True,False,False,False,False,False,Honda,HR-V,2023,Preto,Gasolina e álcool,1.5,Automática,0,4
540,76990.0,False,True,False,False,False,False,False,False,False,Jeep,Renegade,2018,Preto,Gasolina e álcool,1.8,Automática,65000,4
541,52990.0,False,True,False,False,False,False,False,False,False,Volkswagen,Gol,2021,Branco,Gasolina e álcool,1.6,Manual,65000,4
542,155999.0,False,True,False,False,False,False,False,False,False,Chevrolet,Equinox,2019,Preto,Gasolina,2.0,Automática,59734,4
543,95999.0,False,True,False,False,False,False,False,False,False,Hyundai,IX35,2018,Cinza-claro,Gasolina e álcool,2.0,Automática,76495,4
544,101999.0,False,True,False,False,False,False,False,False,False,Suzuki,Vitara,2020,Vermelho,Gasolina,1.6,Automática,38474,4
545,1390000.0,False,False,False,False,False,False,False,False,False,Audi,Rs Q8,2023,Preto,Gasolina,4.0,Automática,65000,4
546,244800.0,True,False,False,False,False,False,False,False,False,Jeep,Renegade,2022,Cinza,Gasolina e álcool,1.3,Automática,65000,4
547,65900.0,True,True,False,True,False,True,False,False,False,Honda,Civic,2016,Branco,Gasolina-Álcool e gás natural,2.0,Automática,65000,4
548,52900.0,True,True,False,True,False,True,False,False,False,Nissan,Versa,2017,Prateado,Gasolina-Álcool e gás natural,1.6,Automática,65000,4
549,159900.0,True,True,False,True,False,True,False,False,False,Chery,Tiggo 8,2022,Preto,Gasolina e álcool,1.6,Automática,65000,5
550,239000.0,False,False,False,False,False,False,False,False,False,Audi,A4,2022,Preto,Gasolina,2.0,Automática,65000,4
552,136800.0,False,False,False,False,False,False,False,False,False,Jeep,Compass,2020,Preto,Gasolina e álcool,2.0,Automática,65000,5
553,47900.0,False,False,False,False,False,False,False,False,False,Hyundai,HB20,2015,Preto,Gasolina e álcool,20.0,Manual,101000,5
554,279990.0,True,False,False,True,False,False,False,False,False,Mitsubishi,Pajero Sport,2020,Branco,Diesel,2.4,Automática,65000,5
555,302000.0,False,False,False,False,False,False,False,False,False,Toyota,SW4,2020,Prateado,Diesel,2.8,Automática,65000,5
556,60900.0,False,False,False,False,False,False,False,False,False,Chevrolet,Onix,2016,Preto,Gasolina e álcool,1.4,Automática,65000,5
557,49000.0,False,False,False,False,False,False,False,False,False,Chevrolet,Onix,2016,Preto,Gasolina e álcool,1.4,Manual,65000,5
558,25900.0,False,True,False,False,False,True,False,False,False,Ford,Focus,2007,Prateado,Gasolina,2.0,Automática,65000,5
559,44500.0,True,True,False,False,False,False,False,False,False,Chevrolet,Spin,2013,Branco,Gasolina e álcool,1.8,Manual,65000,5
561,40000.0,False,False,False,False,False,False,False,False,False,Fiat,Palio,2015,Cinza-escuro,Gasolina e álcool,1.6,Manual,65000,5
562,179000.0,True,True,False,False,False,False,False,True,False,Ford,Ranger,2019,Vermelho,Diesel,3.2,Automática,65000,4
563,203990.0,False,False,False,False,False,False,False,False,False,Jeep,Compass,2022,Cinza,Diesel,2.0,Automática,27500,4
564,149900.0,False,False,False,True,False,False,False,False,False,Chevrolet,Tracker Premier,2023,Cinza,Gasolina e álcool,1.2,Automática,65000,4
565,50999.0,True,True,False,True,False,True,False,False,False,Fiat,Argo,2020,Cinza-escuro,Gasolina e álcool,1.0,Manual,65000,4
566,104990.0,True,False,False,False,False,False,False,True,False,Hyundai,Tucson,2018,Cinza-escuro,Gasolina,1.6,Automática,65000,5
567,109900.0,False,False,False,False,False,False,False,False,False,Mitsubishi,ASX,2018,Cinza-escuro,Gasolina e álcool,2.0,Automática,65000,5
568,1050000.0,False,False,False,False,False,False,False,False,False,Land Rover,Discovery,2023,Azul,Diesel,3.0,Automática,0,4
569,49800.0,False,False,False,False,False,False,False,False,False,Chevrolet,Onix,2018,Preto,Gasolina e álcool,1.0,Manual,65000,5
570,76900.0,False,False,False,False,False,False,False,False,False,Honda,CR-V LX,2012,Preto,Gasolina,2.0,Automática,65000,5
571,79890.0,False,False,False,False,False,False,False,False,False,Chevrolet,Tracker,2016,Preto,Gasolina e álcool,1.8,Automática,65000,5
572,68690.0,False,True,False,False,False,True,False,False,False,Honda,City,2018,Cinza-escuro,Gasolina e álcool,1.5,Automática,65000,5
574,58590.0,True,True,False,False,False,True,False,False,False,Renault,Duster,2017,Prateado,Gasolina e álcool,1.6,Manual,65000,5
576,219900.0,False,False,False,False,True,False,True,False,False,Toyota,Corolla,2023,Preto,Gasolina e elétrico,1.8,Automática,65000,4
578,57900.0,False,True,False,False,False,True,False,False,False,BMW,118i,2012,Preto,Gasolina,2.0,Automática,65000,5
579,94900.0,False,True,False,False,False,True,False,False,False,Chevrolet,Onix,2021,Preto,Gasolina e álcool,1.0,Automática,65000,4
580,69990.0,True,False,False,False,False,False,False,False,False,Jeep,Renegade,2016,Verde,Gasolina e álcool,1.8,Automática,65000,4
581,54900.0,False,False,False,False,False,False,False,False,False,Renault,Sandero,2021,Branco,Gasolina e álcool,1.0,Manual,65000,5
582,76990.0,False,False,False,False,False,False,False,False,False,Hyundai,HB20X,2019,Prateado,Gasolina e álcool,1.6,Automática,65000,5
583,199900.0,False,False,False,False,False,False,False,False,False,Nissan,Frontier,2022,Branco,Diesel,2.3,Automática,65000,4
584,295980.0,False,False,False,True,False,False,False,False,False,BMW,X2,2020,Cinza,Gasolina,2.0,Automática,16000,4
585,254900.0,True,True,False,False,False,True,False,False,False,Mitsubishi,Pajero Full,2019,Preto,Diesel,3.2,Automática,65000,5
586,149900.0,False,False,False,False,False,False,False,False,False,Citroën,Jumpy,2021,Branco,Diesel,1.6,Manual,65000,5
588,62900.0,False,False,False,False,False,False,False,False,False,Hyundai,Elantra,2012,Preto,Gasolina,1.8,Automática,65000,4
590,83800.0,False,False,False,False,False,False,False,False,False,Volkswagen,Jetta,2014,Preto,Gasolina,2.0,Automática,91000,4
591,86990.0,True,False,False,False,False,False,False,False,False,Honda,City,2019,Cinza,Gasolina e álcool,1.5,Automática sequencial,65000,4
595,59900.0,True,True,False,False,False,True,False,False,False,Mitsubishi,Pajero Sport,2009,Prateado,Diesel,2.5,Manual,65000,5
597,79990.0,False,True,False,False,False,True,False,False,False,Peugeot,208,2021,Prateado,Gasolina e álcool,1.6,Automática,65000,4
598,88980.0,False,False,False,False,False,False,False,False,False,Fiat,Argo,2022,Preto,Gasolina e álcool,1.3,Manual,65000,5
602,549900.0,False,False,False,False,False,False,False,False,False,Volvo,XC90,2021,Cinza-escuro,Gasolina e elétrico,2.0,Automática sequencial,65000,5
603,46390.0,True,True,False,False,False,True,False,False,False,Renault,Sandero,2021,Branco,Gasolina e álcool,1.0,Manual,65000,5
604,113900.0,True,True,False,False,False,True,False,False,False,Nissan,Kicks,2022,Prateado,Gasolina e álcool,1.6,Automática,65000,5
605,139900.0,True,True,False,False,False,True,False,False,False,Jeep,Compass,2021,Branco,Gasolina e álcool,2.0,Automática,65000,5
607,248990.0,False,False,False,False,False,False,False,False,False,Ford,Ranger,2022,Preto,Diesel,3.2,Automática,65000,4
608,148490.0,False,False,False,False,False,False,False,False,False,Nissan,Sentra,2023,Branco,Gasolina,2.0,Semiautomática,0,4
609,79900.0,True,True,False,True,False,True,False,False,False,Honda,HR-V,2017,Vermelho,Gasolina e álcool,1.8,Automática,65000,5
613,79390.0,False,False,False,False,False,False,False,False,False,Chevrolet,Onix,2023,Preto,Gasolina e álcool,1.0,Manual,65000,4
614,39000.0,True,True,False,False,True,False,False,False,False,Hyundai,HB20,2013,Cinza-escuro,Gasolina e álcool,1.0,Manual,65000,5
615,26500.0,True,False,False,False,True,False,True,False,False,Subaru,Impreza,1998,Prateado,Gasolina,2.0,Manual,65000,5
617,84200.0,True,True,False,False,True,False,False,False,False,Ford,Ecosport,2020,Branco,Gasolina e álcool,2.0,Automática,65000,5
618,109900.0,False,False,False,True,False,True,False,False,False,Hyundai,Santa Fe,2015,Prateado,Gasolina,3.3,Automática,65000,5
